exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062400,229392,0,43220,44466,469762128,30615.42314,12,9
606062400,229392,0,43220,44466,469762206,30616.418888,11,5
606062400,229392,0,43220,44466,469762309,30617.742187,12,5
606062400,229392,0,43220,44466,469762310,30617.754882,12,3
606062400,229392,0,43220,44466,469762599,30621.456784,12,3
606062400,229392,0,43220,44466,469763037,30627.043153,17,4
606062400,229392,0,43220,44466,469763073,30627.504106,13,5
606062400,229392,0,43220,44466,469763115,30628.042278,12,5
606062400,229392,0,43220,44466,469763120,30628.105643,13,5
606062400,229392,0,43220,44466,469763123,30628.143586,12,5
606062400,229392,0,43220,44466,469763138,30628.335754,12,4
606062400,229392,0,43220,44466,469763423,30631.988403,12,5
606062400,229392,0,43220,44466,469763477,30632.679954,12,4
606062400,229392,0,43220,44466,469763690,30635.406138,12,5
606062400,229392,0,43220,44466,469763791,30636.692975,14,11
606062400,229392,0,43220,44466,469763847,30637.407688,12,5
606062400,229392,0,43220,44466,469764216,30642.134675,11,4
606062400,229392,0,43220,44466,469764255,30642.634903,11,0
606062400,229392,0,43220,44466,469764355,30643.914285,12,3
606062400,229392,0,43220,44466,469764607,30647.141067,11,3
606062400,229392,0,43220,44466,469764726,30648.661849,12,4
606062400,229392,0,43220,44466,469765279,30655.744035,12,4
606062400,229392,0,43220,44466,469765290,30655.884938,11,3
606062400,229392,0,43220,44466,469765481,30658.326528,12,3
606062400,229392,0,43220,44466,469766234,30667.966961,12,5
