exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062400,229411,0,23642,23635,469762049,39411.491267,19,6
606062400,229411,0,23642,23635,469762050,39411.504121,20,7
606062400,229411,0,23642,23635,469762052,39411.529717,18,6
606062400,229411,0,23642,23635,469762053,39411.542514,19,8
606062400,229411,0,23642,23635,469762056,39411.580873,18,6
606062400,229411,0,23642,23635,469762057,39411.593614,19,6
606062400,229411,0,23642,23635,469762058,39411.60638,18,6
606062400,229411,0,23642,23635,469762060,39411.631735,18,7
606062400,229411,0,23642,23635,469762061,39411.644316,18,8
606062400,229411,0,23642,23635,469762062,39411.657025,18,7
606062400,229411,0,23642,23635,469762063,39411.669847,18,7
606062400,229411,0,23642,23635,469762064,39411.682664,18,6
606062400,229411,0,23642,23635,469762065,39411.695509,17,6
606062400,229411,0,23642,23635,469762066,39411.708051,19,6
606062400,229411,0,23642,23635,469762069,39411.746747,18,8
606062400,229411,0,23642,23635,469762070,39411.75933,19,8
606062400,229411,0,23642,23635,469762072,39411.784974,18,9
606062400,229411,0,23642,23635,469762073,39411.797575,18,8
606062400,229411,0,23642,23635,469762074,39411.810165,18,7
606062400,229411,0,23642,23635,469762076,39411.835357,18,9
606062400,229411,0,23642,23635,469762077,39411.848011,17,7
606062400,229411,0,23642,23635,469762078,39411.860884,18,7
606062400,229411,0,23642,23635,469762079,39411.873685,18,8
606062400,229411,0,23642,23635,469762081,39411.899105,18,6
606062400,229411,0,23642,23635,469762082,39411.911687,18,6
606062400,229411,0,23642,23635,469762085,39411.949771,18,20
606062400,229411,0,23642,23635,469762087,39411.975118,18,6
606062400,229411,0,23642,23635,469762089,39412.000811,17,8
606062400,229411,0,23642,23635,469762090,39412.013812,17,6
606062400,229411,0,23642,23635,469762092,39412.039631,17,7
606062400,229411,0,23642,23635,469762093,39412.052576,17,7
606062400,229411,0,23642,23635,469762094,39412.065443,17,8
606062400,229411,0,23642,23635,469762095,39412.078152,17,9
606062400,229411,0,23642,23635,469762096,39412.091041,16,6
606062400,229411,0,23642,23635,469762097,39412.103966,16,6
606062400,229411,0,23642,23635,469762098,39412.116661,16,7
606062400,229411,0,23642,23635,469762100,39412.142182,17,8
606062400,229411,0,23642,23635,469762102,39412.16735,17,11
606062400,229411,0,23642,23635,469762103,39412.180228,16,6
606062400,229411,0,23642,23635,469762106,39412.218396,17,7
606062400,229411,0,23642,23635,469762108,39412.243886,17,10
606062400,229411,0,23642,23635,469762109,39412.256538,16,7
606062400,229411,0,23642,23635,469762110,39412.269523,16,8
606062400,229411,0,23642,23635,469762111,39412.282248,17,6
606062400,229411,0,23642,23635,469762113,39412.307419,16,13
606062400,229411,0,23642,23635,469762114,39412.320465,16,6
606062400,229411,0,23642,23635,469762116,39412.345784,16,7
606062400,229411,0,23642,23635,469762117,39412.358373,17,6
606062400,229411,0,23642,23635,469762118,39412.371247,17,7
606062400,229411,0,23642,23635,469762119,39412.38383,17,7
606062400,229411,0,23642,23635,469762120,39412.396697,17,7
606062400,229411,0,23642,23635,469762121,39412.409317,18,13
606062400,229411,0,23642,23635,469762122,39412.421978,18,7
606062400,229411,0,23642,23635,469762124,39412.447137,18,7
606062400,229411,0,23642,23635,469762125,39412.460208,18,6
606062400,229411,0,23642,23635,469762126,39412.472788,17,6
606062400,229411,0,23642,23635,469762127,39412.485599,18,7
606062400,229411,0,23642,23635,469762128,39412.498168,18,7
606062400,229411,0,23642,23635,469762129,39412.510895,19,13
606062400,229411,0,23642,23635,469762132,39412.549618,18,8
606062400,229411,0,23642,23635,469762133,39412.562278,21,14
606062400,229411,0,23642,23635,469762134,39412.574813,20,14
606062400,229411,0,23642,23635,469762135,39412.587882,19,8
606062400,229411,0,23642,23635,469762136,39412.600635,18,7
606062400,229411,0,23642,23635,469762137,39412.613201,18,7
606062400,229411,0,23642,23635,469762138,39412.625784,18,7
606062400,229411,0,23642,23635,469762140,39412.651447,18,8
606062400,229411,0,23642,23635,469762141,39412.664142,18,9
606062400,229411,0,23642,23635,469762143,39412.689553,18,7
606062400,229411,0,23642,23635,469762144,39412.702576,18,10
606062400,229411,0,23642,23635,469762146,39412.72814,21,11
