exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062401,360459,0,41112,41109,738197547,28392.92904,8,4
606062401,360459,0,41112,41109,738197708,28393.995953,8,4
606062401,360459,0,41112,41109,738197874,28395.095823,8,4
606062401,360459,0,41112,41109,738197903,28395.287822,9,6
606062401,360459,0,41112,41109,738197906,28395.307404,9,5
606062401,360459,0,41112,41109,738197909,28395.327424,9,6
606062401,360459,0,41112,41109,738197910,28395.333862,8,5
606062401,360459,0,41112,41109,738197918,28395.386833,9,5
606062401,360459,0,41112,41109,738197919,28395.393757,9,9
606062401,360459,0,41112,41109,738197933,28395.486763,9,6
606062401,360459,0,41112,41109,738197934,28395.493183,9,6
606062401,360459,0,41112,41109,738197942,28395.545839,9,6
606062401,360459,0,41112,41109,738197945,28395.565973,9,6
606062401,360459,0,41112,41109,738198030,28396.128677,10,6
606062401,360459,0,41112,41109,738198053,28396.28084,8,4
606062401,360459,0,41112,41109,738198262,28397.667572,8,5
606062401,360459,0,41112,41109,738198341,28398.193886,8,4
606062401,360459,0,41112,41109,738198369,28398.380384,8,4
606062401,360459,0,41112,41109,738198397,28398.565945,8,5
606062401,360459,0,41112,41109,738198459,28398.976104,10,6
606062401,360459,0,41112,41109,738198570,28399.71376,9,5
606062401,360459,0,41112,41109,738198579,28399.774434,9,7
606062401,360459,0,41112,41109,738198588,28399.833328,10,6
606062401,360459,0,41112,41109,738198612,28399.991705,8,5
606062401,360459,0,41112,41109,738198799,28401.230725,9,5
606062401,360459,0,41112,41109,738198803,28401.256882,8,5
606062401,360459,0,41112,41109,738198827,28401.416695,9,6
606062401,360459,0,41112,41109,738198851,28401.575429,8,4
606062401,360459,0,41112,41109,738198922,28402.044714,8,5
606062401,360459,0,41112,41109,738198928,28402.084248,10,6
606062401,360459,0,41112,41109,738198936,28402.137447,9,5
606062401,360459,0,41112,41109,738198950,28402.229987,9,6
606062401,360459,0,41112,41109,738198958,28402.283729,9,6
606062401,360459,0,41112,41109,738198997,28402.543471,10,9
606062401,360459,0,41112,41109,738199049,28402.887115,8,6
606062401,360459,0,41112,41109,738199065,28402.993286,9,7
606062401,360459,0,41112,41109,738199153,28403.575776,9,6
606062401,360459,0,41112,41109,738199170,28403.688511,9,5
606062401,360459,0,41112,41109,738199188,28403.807051,10,6
606062401,360459,0,41112,41109,738199190,28403.820496,8,5
606062401,360459,0,41112,41109,738199200,28403.886467,10,5
606062401,360459,0,41112,41109,738199214,28403.979539,9,6
606062401,360459,0,41112,41109,738199259,28404.276575,11,7
606062401,360459,0,41112,41109,738199276,28404.388127,9,5
606062401,360459,0,41112,41109,738199291,28404.48765,8,4
606062401,360459,0,41112,41109,738199309,28404.606314,9,6
606062401,360459,0,41112,41109,738199332,28404.758039,9,6
606062401,360459,0,41112,41109,738199370,28405.010545,11,8
606062401,360459,0,41112,41109,738199406,28405.247907,10,8
606062401,360459,0,41112,41109,738199592,28406.476666,9,6
606062401,360459,0,41112,41109,738199601,28406.53585,8,4
606062401,360459,0,41112,41109,738199607,28406.575663,9,15
606062401,360459,0,41112,41109,738199622,28406.674659,10,5
