exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062401,360485,0,23647,23740,738197504,40429.556156,40,9
606062401,360485,0,23647,23740,738197505,40429.562862,40,11
606062401,360485,0,23647,23740,738197506,40429.56936,39,11
606062401,360485,0,23647,23740,738197507,40429.575785,40,10
606062401,360485,0,23647,23740,738197508,40429.582316,40,10
606062401,360485,0,23647,23740,738197509,40429.588736,40,10
606062401,360485,0,23647,23740,738197510,40429.595603,39,12
606062401,360485,0,23647,23740,738197512,40429.608835,40,14
606062401,360485,0,23647,23740,738197513,40429.615313,40,10
606062401,360485,0,23647,23740,738197514,40429.622191,40,10
606062401,360485,0,23647,23740,738197516,40429.635611,39,11
606062401,360485,0,23647,23740,738197517,40429.642467,39,11
606062401,360485,0,23647,23740,738197518,40429.648907,39,11
606062401,360485,0,23647,23740,738197519,40429.65546,39,11
606062401,360485,0,23647,23740,738197520,40429.661901,39,10
606062401,360485,0,23647,23740,738197521,40429.668331,40,11
606062401,360485,0,23647,23740,738197522,40429.675017,39,13
606062401,360485,0,23647,23740,738197523,40429.681682,39,16
606062401,360485,0,23647,23740,738197524,40429.689178,39,14
606062401,360485,0,23647,23740,738197525,40429.696105,39,11
606062401,360485,0,23647,23740,738197526,40429.702726,40,11
606062401,360485,0,23647,23740,738197527,40429.70956,40,10
606062401,360485,0,23647,23740,738197528,40429.716033,39,10
606062401,360485,0,23647,23740,738197530,40429.72961,41,10
606062401,360485,0,23647,23740,738197531,40429.73637,39,11
606062401,360485,0,23647,23740,738197532,40429.743075,39,10
606062401,360485,0,23647,23740,738197533,40429.74954,39,11
606062401,360485,0,23647,23740,738197535,40429.763237,39,10
606062401,360485,0,23647,23740,738197536,40429.76982,39,10
606062401,360485,0,23647,23740,738197537,40429.776738,44,11
606062401,360485,0,23647,23740,738197538,40429.783447,39,10
606062401,360485,0,23647,23740,738197539,40429.790262,39,11
606062401,360485,0,23647,23740,738197540,40429.796697,39,11
606062401,360485,0,23647,23740,738197541,40429.803547,40,12
606062401,360485,0,23647,23740,738197542,40429.810119,39,13
606062401,360485,0,23647,23740,738197544,40429.823341,39,9
606062401,360485,0,23647,23740,738197545,40429.830105,40,11
606062401,360485,0,23647,23740,738197546,40429.836532,40,11
606062401,360485,0,23647,23740,738197547,40429.843107,40,11
606062401,360485,0,23647,23740,738197548,40429.849921,39,10
606062401,360485,0,23647,23740,738197549,40429.856851,40,9
606062401,360485,0,23647,23740,738197550,40429.863321,39,10
606062401,360485,0,23647,23740,738197551,40429.86995,39,11
606062401,360485,0,23647,23740,738197553,40429.883511,40,10
606062401,360485,0,23647,23740,738197554,40429.890359,39,10
606062401,360485,0,23647,23740,738197555,40429.89685,39,15
606062401,360485,0,23647,23740,738197557,40429.910414,39,13
606062401,360485,0,23647,23740,738197558,40429.917151,40,13
606062401,360485,0,23647,23740,738197559,40429.923767,40,10
606062401,360485,0,23647,23740,738197560,40429.930494,40,13
606062401,360485,0,23647,23740,738197561,40429.936957,43,13
606062401,360485,0,23647,23740,738197562,40429.94377,40,10
606062401,360485,0,23647,23740,738197563,40429.950645,40,10
606062401,360485,0,23647,23740,738197564,40429.957337,40,10
606062401,360485,0,23647,23740,738197565,40429.963935,40,9
606062401,360485,0,23647,23740,738197566,40429.970819,40,18
606062401,360485,0,23647,23740,738197567,40429.977366,40,10
606062401,360485,0,23647,23740,738197568,40429.984067,40,11
606062401,360485,0,23647,23740,738197569,40429.990687,41,11
606062401,360485,0,23647,23740,738197570,40429.997192,40,11
606062401,360485,0,23647,23740,738197571,40430.003767,40,10
606062401,360485,0,23647,23740,738197572,40430.010194,40,12
606062401,360485,0,23647,23740,738197573,40430.016648,40,11
606062401,360485,0,23647,23740,738197574,40430.023279,40,10
606062401,360485,0,23647,23740,738197575,40430.029715,40,10
606062401,360485,0,23647,23740,738197576,40430.036159,39,10
606062401,360485,0,23647,23740,738197578,40430.049633,40,11
606062401,360485,0,23647,23740,738197579,40430.056455,40,10
606062401,360485,0,23647,23740,738197581,40430.069544,40,15
606062401,360485,0,23647,23740,738197582,40430.076438,40,10
606062401,360485,0,23647,23740,738197583,40430.082881,40,13
606062401,360485,0,23647,23740,738197584,40430.089687,41,13
606062401,360485,0,23647,23740,738197585,40430.096408,40,13
606062401,360485,0,23647,23740,738197586,40430.103177,40,10
606062401,360485,0,23647,23740,738197587,40430.110069,40,13
606062401,360485,0,23647,23740,738197588,40430.116566,40,11
606062401,360485,0,23647,23740,738197589,40430.122992,39,12
606062401,360485,0,23647,23740,738197591,40430.13625,39,14
606062401,360485,0,23647,23740,738197593,40430.149604,39,10
606062401,360485,0,23647,23740,738197594,40430.153797,40,10
606062401,360485,0,23647,23740,738197595,40430.158138,40,10
606062401,360485,0,23647,23740,738197596,40430.159245,40,10
606062401,360485,0,23647,23740,738197597,40430.165073,39,10
606062401,360485,0,23647,23740,738197599,40430.178012,40,10
606062401,360485,0,23647,23740,738197600,40430.184426,39,13
606062401,360485,0,23647,23740,738197601,40430.190911,39,10
606062401,360485,0,23647,23740,738197602,40430.197395,40,12
606062401,360485,0,23647,23740,738197603,40430.203971,40,11
606062401,360485,0,23647,23740,738197604,40430.210408,40,10
606062401,360485,0,23647,23740,738197605,40430.216849,39,10
606062401,360485,0,23647,23740,738197606,40430.223685,40,10
606062401,360485,0,23647,23740,738197607,40430.230366,39,13
606062401,360485,0,23647,23740,738197608,40430.237129,39,11
606062401,360485,0,23647,23740,738197609,40430.24395,40,10
606062401,360485,0,23647,23740,738197610,40430.25041,39,10
606062401,360485,0,23647,23740,738197611,40430.257047,39,11
606062401,360485,0,23647,23740,738197614,40430.276618,40,12
606062401,360485,0,23647,23740,738197615,40430.283043,40,11
606062401,360485,0,23647,23740,738197616,40430.289505,40,12
606062401,360485,0,23647,23740,738197617,40430.295935,40,12
606062401,360485,0,23647,23740,738197618,40430.302734,40,12
606062401,360485,0,23647,23740,738197619,40430.309182,40,13
606062401,360485,0,23647,23740,738197621,40430.32249,40,23
606062401,360485,0,23647,23740,738197622,40430.329175,40,18
606062401,360485,0,23647,23740,738197623,40430.335665,40,11
606062401,360485,0,23647,23740,738197625,40430.349281,40,11
606062401,360485,0,23647,23740,738197626,40430.356008,40,10
606062401,360485,0,23647,23740,738197627,40430.362453,40,10
606062401,360485,0,23647,23740,738197628,40430.36893,43,10
606062401,360485,0,23647,23740,738197630,40430.38266,40,10
606062401,360485,0,23647,23740,738197633,40430.402733,40,13
606062401,360485,0,23647,23740,738197635,40430.416394,40,11
606062401,360485,0,23647,23740,738197636,40430.423044,40,10
606062401,360485,0,23647,23740,738197638,40430.436541,40,12
606062401,360485,0,23647,23740,738197639,40430.443252,40,11
606062401,360485,0,23647,23740,738197640,40430.449655,40,12
606062401,360485,0,23647,23740,738197642,40430.462779,40,10
606062401,360485,0,23647,23740,738197644,40430.476487,40,12
606062401,360485,0,23647,23740,738197645,40430.483245,40,13
606062401,360485,0,23647,23740,738197646,40430.489934,40,17
606062401,360485,0,23647,23740,738197648,40430.503596,40,12
606062401,360485,0,23647,23740,738197649,40430.510129,40,12
606062401,360485,0,23647,23740,738197650,40430.517046,40,11
606062401,360485,0,23647,23740,738197651,40430.523784,40,16
606062401,360485,0,23647,23740,738197652,40430.530232,40,16
606062401,360485,0,23647,23740,738197653,40430.536677,40,16
606062401,360485,0,23647,23740,738197655,40430.54974,40,15
606062401,360485,0,23647,23740,738197656,40430.556536,40,11
606062401,360485,0,23647,23740,738197657,40430.563341,40,10
606062401,360485,0,23647,23740,738197658,40430.569886,40,19
606062401,360485,0,23647,23740,738197659,40430.576337,42,19
606062401,360485,0,23647,23740,738197660,40430.582827,40,12
606062401,360485,0,23647,23740,738197661,40430.589504,40,15
606062401,360485,0,23647,23740,738197662,40430.596258,40,10
606062401,360485,0,23647,23740,738197663,40430.602809,40,12
606062401,360485,0,23647,23740,738197664,40430.60926,40,12
606062401,360485,0,23647,23740,738197665,40430.615665,40,11
606062401,360485,0,23647,23740,738197666,40430.622533,40,13
606062401,360485,0,23647,23740,738197667,40430.629257,40,13
606062401,360485,0,23647,23740,738197668,40430.635931,40,10
606062401,360485,0,23647,23740,738197669,40430.642522,40,10
606062401,360485,0,23647,23740,738197670,40430.649321,40,10
606062401,360485,0,23647,23740,738197671,40430.656184,40,10
606062401,360485,0,23647,23740,738197673,40430.669623,40,14
606062401,360485,0,23647,23740,738197674,40430.676482,40,13
606062401,360485,0,23647,23740,738197675,40430.682942,40,10
606062401,360485,0,23647,23740,738197678,40430.70246,39,23
606062401,360485,0,23647,23740,738197679,40430.709321,40,10
606062401,360485,0,23647,23740,738197680,40430.716121,43,10
606062401,360485,0,23647,23740,738197681,40430.722568,40,10
606062401,360485,0,23647,23740,738197682,40430.72926,40,10
