exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062401,360487,0,23651,23740,738197520,41355.64464,19,10
606062401,360487,0,23651,23740,738197521,41355.651451,18,15
606062401,360487,0,23651,23740,738197526,41355.684375,19,11
606062401,360487,0,23651,23740,738197531,41355.717806,19,9
606062401,360487,0,23651,23740,738197539,41355.771245,20,17
606062401,360487,0,23651,23740,738197540,41355.777694,19,10
606062401,360487,0,23651,23740,738197541,41355.784448,20,11
606062401,360487,0,23651,23740,738197542,41355.791208,19,10
606062401,360487,0,23651,23740,738197543,41355.798069,19,9
606062401,360487,0,23651,23740,738197545,41355.811482,19,9
606062401,360487,0,23651,23740,738197546,41355.818377,18,9
606062401,360487,0,23651,23740,738197563,41355.930335,18,10
606062401,360487,0,23651,23740,738197573,41355.996296,18,10
606062401,360487,0,23651,23740,738197577,41356.02249,18,10
606062401,360487,0,23651,23740,738197686,41356.745906,18,13
606062401,360487,0,23651,23740,738197687,41356.752389,18,10
606062401,360487,0,23651,23740,738197690,41356.772476,17,10
606062401,360487,0,23651,23740,738197696,41356.812623,18,10
606062401,360487,0,23651,23740,738197699,41356.832042,17,10
606062401,360487,0,23651,23740,738197700,41356.838755,18,12
606062401,360487,0,23651,23740,738197706,41356.878511,18,15
606062401,360487,0,23651,23740,738197720,41356.963015,19,15
606062401,360487,0,23651,23740,738197724,41356.989547,18,9
606062401,360487,0,23651,23740,738197733,41357.048435,18,9
606062401,360487,0,23651,23740,738197737,41357.075502,18,11
606062401,360487,0,23651,23740,738197746,41357.135261,17,8
606062401,360487,0,23651,23740,738197763,41357.24735,17,9
606062401,360487,0,23651,23740,738197764,41357.254158,17,8
606062401,360487,0,23651,23740,738197767,41357.274098,17,17
606062401,360487,0,23651,23740,738197772,41357.307147,18,12
606062401,360487,0,23651,23740,738197803,41357.513792,17,9
606062401,360487,0,23651,23740,738197809,41357.553645,17,9
606062401,360487,0,23651,23740,738197811,41357.566523,18,10
606062401,360487,0,23651,23740,738197812,41357.573376,17,10
606062401,360487,0,23651,23740,738197813,41357.580124,18,10
606062401,360487,0,23651,23740,738197835,41357.724419,17,14
606062401,360487,0,23651,23740,738197837,41357.738135,17,15
606062401,360487,0,23651,23740,738197840,41357.75827,18,11
606062401,360487,0,23651,23740,738197850,41357.823787,18,11
606062401,360487,0,23651,23740,738197852,41357.837427,18,11
606062401,360487,0,23651,23740,738197859,41357.883361,19,13
606062401,360487,0,23651,23740,738197863,41357.90999,19,11
606062401,360487,0,23651,23740,738197872,41357.969549,19,10
606062401,360487,0,23651,23740,738197880,41358.022623,18,9
606062401,360487,0,23651,23740,738197882,41358.036218,19,10
606062401,360487,0,23651,23740,738197883,41358.042883,19,15
606062401,360487,0,23651,23740,738197886,41358.063004,18,9
606062401,360487,0,23651,23740,738197887,41358.069428,19,9
606062401,360487,0,23651,23740,738197890,41358.088938,18,9
606062401,360487,0,23651,23740,738197891,41358.095489,19,10
606062401,360487,0,23651,23740,738197896,41358.128217,18,9
606062401,360487,0,23651,23740,738197900,41358.154672,20,17
606062401,360487,0,23651,23740,738197902,41358.168067,20,22
606062401,360487,0,23651,23740,738197906,41358.194913,18,9
606062401,360487,0,23651,23740,738197910,41358.221449,19,9
606062401,360487,0,23651,23740,738197911,41358.228303,19,15
606062401,360487,0,23651,23740,738197913,41358.241587,18,11
606062401,360487,0,23651,23740,738197918,41358.274439,18,10
606062401,360487,0,23651,23740,738197923,41358.307901,18,10
606062401,360487,0,23651,23740,738197930,41358.354439,18,10
606062401,360487,0,23651,23740,738197931,41358.361137,18,10
606062401,360487,0,23651,23740,738197947,41358.467529,19,10
606062401,360487,0,23651,23740,738197950,41358.487883,19,9
606062401,360487,0,23651,23740,738197951,41358.494496,19,11
606062401,360487,0,23651,23740,738197953,41358.50823,19,10
606062401,360487,0,23651,23740,738197954,41358.514999,19,9
606062401,360487,0,23651,23740,738197957,41358.534933,20,10
606062401,360487,0,23651,23740,738197960,41358.554785,19,11
606062401,360487,0,23651,23740,738197962,41358.567918,19,9
606062401,360487,0,23651,23740,738197963,41358.574352,19,9
606062401,360487,0,23651,23740,738197966,41358.594388,20,10
