exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062401,360472,0,23742,23652,738197504,34410.788677,40,7
606062401,360472,0,23742,23652,738197505,34410.795216,39,8
606062401,360472,0,23742,23652,738197506,34410.80204,40,7
606062401,360472,0,23742,23652,738197507,34410.808552,40,7
606062401,360472,0,23742,23652,738197508,34410.815274,40,7
606062401,360472,0,23742,23652,738197509,34410.821803,40,10
606062401,360472,0,23742,23652,738197511,34410.835078,40,10
606062401,360472,0,23742,23652,738197512,34410.841937,40,8
606062401,360472,0,23742,23652,738197513,34410.848362,40,11
606062401,360472,0,23742,23652,738197514,34410.854809,40,8
606062401,360472,0,23742,23652,738197515,34410.861497,40,6
606062401,360472,0,23742,23652,738197516,34410.868237,40,9
606062401,360472,0,23742,23652,738197517,34410.874788,40,11
606062401,360472,0,23742,23652,738197518,34410.881208,40,12
606062401,360472,0,23742,23652,738197519,34410.887685,40,11
606062401,360472,0,23742,23652,738197520,34410.894119,40,11
606062401,360472,0,23742,23652,738197521,34410.900552,40,10
606062401,360472,0,23742,23652,738197522,34410.907437,40,7
606062401,360472,0,23742,23652,738197523,34410.914294,40,11
606062401,360472,0,23742,23652,738197524,34410.920824,40,8
606062401,360472,0,23742,23652,738197525,34410.92731,40,8
606062401,360472,0,23742,23652,738197527,34410.940182,39,7
606062401,360472,0,23742,23652,738197528,34410.946617,40,10
606062401,360472,0,23742,23652,738197529,34410.953495,40,8
606062401,360472,0,23742,23652,738197530,34410.960396,40,7
606062401,360472,0,23742,23652,738197531,34410.966888,40,10
606062401,360472,0,23742,23652,738197532,34410.973619,39,7
606062401,360472,0,23742,23652,738197533,34410.980232,40,7
606062401,360472,0,23742,23652,738197534,34410.986728,40,8
606062401,360472,0,23742,23652,738197535,34410.993269,40,10
606062401,360472,0,23742,23652,738197536,34410.999704,40,9
606062401,360472,0,23742,23652,738197537,34411.00618,40,8
606062401,360472,0,23742,23652,738197538,34411.012616,40,8
606062401,360472,0,23742,23652,738197539,34411.019063,40,6
606062401,360472,0,23742,23652,738197540,34411.02555,40,6
606062401,360472,0,23742,23652,738197542,34411.039172,40,6
606062401,360472,0,23742,23652,738197543,34411.045705,40,8
606062401,360472,0,23742,23652,738197544,34411.052285,40,8
606062401,360472,0,23742,23652,738197545,34411.059104,40,6
606062401,360472,0,23742,23652,738197546,34411.065779,40,7
606062401,360472,0,23742,23652,738197547,34411.072392,40,15
