exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062401,360459,0,41112,26093,738197504,28392.572985,21,15
606062401,360459,0,41112,26093,738197505,28392.579575,20,15
606062401,360459,0,41112,26093,738197507,28392.593316,20,17
606062401,360459,0,41112,26093,738197508,28392.59976,20,16
606062401,360459,0,41112,26093,738197509,28392.606227,20,16
606062401,360459,0,41112,26093,738197510,28392.613159,20,16
606062401,360459,0,41112,26093,738197511,28392.619765,20,16
606062401,360459,0,41112,26093,738197512,28392.626214,20,15
606062401,360459,0,41112,26093,738197513,28392.632709,20,17
606062401,360459,0,41112,26093,738197514,28392.63915,20,17
606062401,360459,0,41112,26093,738197515,28392.64581,21,15
606062401,360459,0,41112,26093,738197516,28392.652256,20,15
606062401,360459,0,41112,26093,738197517,28392.658938,20,15
606062401,360459,0,41112,26093,738197520,28392.678329,21,17
606062401,360459,0,41112,26093,738197521,28392.684766,20,16
606062401,360459,0,41112,26093,738197522,28392.691221,21,15
606062401,360459,0,41112,26093,738197524,28392.704395,23,15
606062401,360459,0,41112,26093,738197527,28392.724577,20,15
606062401,360459,0,41112,26093,738197528,28392.731192,20,15
606062401,360459,0,41112,26093,738197529,28392.737863,20,15
606062401,360459,0,41112,26093,738197530,28392.744394,21,22
606062401,360459,0,41112,26093,738197531,28392.751229,20,15
606062401,360459,0,41112,26093,738197532,28392.757672,20,15
606062401,360459,0,41112,26093,738197533,28392.764253,20,15
606062401,360459,0,41112,26093,738197535,28392.777637,19,15
606062401,360459,0,41112,26093,738197538,28392.797379,20,17
606062401,360459,0,41112,26093,738197539,28392.804046,20,15
606062401,360459,0,41112,26093,738197541,28392.816937,20,15
606062401,360459,0,41112,26093,738197542,28392.823836,21,17
606062401,360459,0,41112,26093,738197545,28392.843597,20,17
606062401,360459,0,41112,26093,738197546,28392.850119,20,15
606062401,360459,0,41112,26093,738197547,28392.856825,20,15
606062401,360459,0,41112,26093,738197548,28392.863367,20,15
606062401,360459,0,41112,26093,738197550,28392.877037,20,16
606062401,360459,0,41112,26093,738197551,28392.88357,20,15
606062401,360459,0,41112,26093,738197552,28392.890019,20,15
606062401,360459,0,41112,26093,738197553,28392.896653,21,15
606062401,360459,0,41112,26093,738197554,28392.903089,20,15
606062401,360459,0,41112,26093,738197556,28392.916271,20,15
606062401,360459,0,41112,26093,738197558,28392.929567,21,15
606062401,360459,0,41112,26093,738197559,28392.93629,20,15
606062401,360459,0,41112,26093,738197561,28392.949745,19,15
606062401,360459,0,41112,26093,738197562,28392.956179,20,15
606062401,360459,0,41112,26093,738197564,28392.969405,20,16
606062401,360459,0,41112,26093,738197565,28392.975941,20,15
606062401,360459,0,41112,26093,738197567,28392.989085,20,15
606062401,360459,0,41112,26093,738197568,28392.996013,20,15
606062401,360459,0,41112,26093,738197570,28393.009326,20,16
606062401,360459,0,41112,26093,738197571,28393.015983,20,15
606062401,360459,0,41112,26093,738197573,28393.029324,20,15
606062401,360459,0,41112,26093,738197574,28393.03599,19,15
606062401,360459,0,41112,26093,738197575,28393.042465,20,16
606062401,360459,0,41112,26093,738197576,28393.048928,20,16
606062401,360459,0,41112,26093,738197577,28393.055633,20,15
606062401,360459,0,41112,26093,738197581,28393.082434,20,15
606062401,360459,0,41112,26093,738197582,28393.088876,20,16
606062401,360459,0,41112,26093,738197583,28393.09536,19,15
606062401,360459,0,41112,26093,738197584,28393.102164,20,15
606062401,360459,0,41112,26093,738197586,28393.115726,19,15
