exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062402,753679,0,43211,23742,1543510628,30354.319212,7,3
606062402,753679,0,43211,23742,1543510867,30355.014736,10,5
606062402,753679,0,43211,23742,1543511090,30355.624508,10,3
606062402,753679,0,43211,23742,1543511177,30355.858821,9,5
606062402,753679,0,43211,23742,1543511191,30355.896569,10,4
606062402,753679,0,43211,23742,1543511196,30355.910755,10,3
606062402,753679,0,43211,23742,1543511198,30355.915971,10,2
606062402,753679,0,43211,23742,1543511199,30355.918982,11,4
606062402,753679,0,43211,23742,1543511303,30356.19913,10,7
606062402,753679,0,43211,23742,1543511315,30356.231732,10,7
606062402,753679,0,43211,23742,1543513380,30361.848915,9,4
606062402,753679,0,43211,23742,1543513492,30362.155875,10,4
606062402,753679,0,43211,23742,1543514106,30363.830511,10,11
606062402,753679,0,43211,23742,1543514124,30363.88054,10,2
606062402,753679,0,43211,23742,1543514131,30363.899905,10,2
606062402,753679,0,43211,23742,1543514168,30364.00006,10,5
606062402,753679,0,43211,23742,1543514187,30364.051639,10,4
606062402,753679,0,43211,23742,1543514199,30364.083877,10,3
606062402,753679,0,43211,23742,1543514234,30364.179291,10,3
606062402,753679,0,43211,23742,1543514256,30364.239399,11,8
606062402,753679,0,43211,23742,1543514300,30364.358794,10,1
606062402,753679,0,43211,23742,1543514303,30364.367191,10,2
606062402,753679,0,43211,23742,1543514376,30364.564624,10,4
606062402,753679,0,43211,23742,1543514386,30364.591173,10,7
606062402,753679,0,43211,23742,1543514695,30365.425929,10,3
606062402,753679,0,43211,23742,1543514811,30365.741389,10,4
606062402,753679,0,43211,23742,1543514836,30365.81005,10,2
606062402,753679,0,43211,23742,1543514861,30365.880745,9,5
606062402,753679,0,43211,23742,1543514867,30365.897381,10,1
606062402,753679,0,43211,23742,1543514904,30365.998473,11,3
606062402,753679,0,43211,23742,1543515039,30366.369805,9,5
606062402,753679,0,43211,23742,1543515195,30366.794801,7,3
606062402,753679,0,43211,23742,1543529615,30406.063026,11,13
606062402,753679,0,43211,23742,1543535441,30421.935763,9,5
606062402,753679,0,43211,23742,1543535478,30422.03492,11,3
606062402,753679,0,43211,23742,1543535579,30422.314672,9,5
