exp_id,link_test,test_phase,src,dst,seq,time,signal,noise
606062402,753680,0,43220,41105,1543506615,30806.765184,14,8
606062402,753680,0,43220,41105,1543507572,30809.414401,12,8
606062402,753680,0,43220,41105,1543507645,30809.614579,13,7
606062402,753680,0,43220,41105,1543507691,30809.740467,15,9
606062402,753680,0,43220,41105,1543507824,30810.104753,13,7
606062402,753680,0,43220,41105,1543507875,30810.248082,13,8
606062402,753680,0,43220,41105,1543508059,30810.754348,12,10
606062402,753680,0,43220,41105,1543508121,30810.925731,12,7
606062402,753680,0,43220,41105,1543508183,30811.100512,12,8
606062402,753680,0,43220,41105,1543508219,30811.200656,12,8
606062402,753680,0,43220,41105,1543509884,30815.812715,12,9
606062402,753680,0,43220,41105,1543514195,30827.770768,12,8
606062402,753680,0,43220,41105,1543514286,30828.021848,11,10
606062402,753680,0,43220,41105,1543514351,30828.202717,13,8
606062402,753680,0,43220,41105,1543514970,30829.949068,13,12
606062402,753680,0,43220,41105,1543515020,30830.0914,13,8
606062402,753680,0,43220,41105,1543515051,30830.178403,12,8
606062402,753680,0,43220,41105,1543515849,30832.426583,12,8
606062402,753680,0,43220,41105,1543515917,30832.613738,12,8
606062402,753680,0,43220,41105,1543519065,30841.385076,11,7
606062402,753680,0,43220,41105,1543519072,30841.403283,13,8
606062402,753680,0,43220,41105,1543519591,30842.895071,13,8
606062402,753680,0,43220,41105,1543520627,30845.788766,11,7
606062402,753680,0,43220,41105,1543520889,30846.504838,13,8
606062402,753680,0,43220,41105,1543521086,30847.084439,14,9
606062402,753680,0,43220,41105,1543521233,30847.526765,12,8
606062402,753680,0,43220,41105,1543521305,30847.72444,11,7
606062402,753680,0,43220,41105,1543521356,30847.866358,11,7
606062402,753680,0,43220,41105,1543521706,30848.835647,12,8
606062402,753680,0,43220,41105,1543521827,30849.200236,12,8
606062402,753680,0,43220,41105,1543521836,30849.223769,12,9
606062402,753680,0,43220,41105,1543523261,30853.263574,12,9
606062402,753680,0,43220,41105,1543535416,30887.166389,13,9
606062402,753680,0,43220,41105,1543535418,30887.171539,13,9
606062402,753680,0,43220,41105,1543535688,30887.949461,12,9
